"","IDEN3","SERIE","CANSIS","GROUPE","PARCELLE","COMTE","Culture_1","COMMENTA","Duree_1","Duree_1b","Culture_2","Duree_2","Culture_3","Duree_3","Duree_rotation","Dist_Site","Nbre_site","xcoord","ycoord"
"600","PML001","PALMAROLLE","PML",1,"001","ABITIBI OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,1291,7,-8849011.561,6233171.607
"601","PML002","PALMAROLLE","PML",1,"002","ABITIBI OUEST","1-prairie",NA,4,"3-5 ans",NA,NA,NA,NA,NA,1082,7,-8826664.392,6237019.755
"602","PML006","PALMAROLLE","PML",1,"006","ABITIBI OUEST","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,478,7,-8805782.038,6216934.748
"603","PML010","PALMAROLLE","PML",1,"010","ABITIBI OUEST","1-prairie",NA,4,NA,"céréales",4,NA,NA,NA,814,7,-8838323.214,6237748.249
"604","PML011","PALMAROLLE","PML",1,"011","ABITIBI OUEST","1-prairie",NA,5,"4-6 ans",NA,NA,NA,NA,NA,582,7,-8800362.119,6237642.774
"605","PML012","PALMAROLLE","PML",1,"012","ABITIBI OUEST","1-prairie",NA,4,"3-6 ans",NA,NA,NA,NA,NA,476,7,-8814288.94,6216294.688
"606","PML013","PALMAROLLE","PML",1,"013","ABITIBI OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,442,7,-8809248.419,6217008.878
"607","PML019","PALMAROLLE","PML",1,"019","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,694,7,-8836393.643,6235396.036
"608","PML020","PALMAROLLE","PML",1,"020","ABITIBI OUEST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,552,7,-8836549.53,6235822.469
"609","PML022","PALMAROLLE","PML",1,"022","ABITIBI OUEST","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,689,7,-8835137.42,6237458.687
"610","PML029","PALMAROLLE","PML",1,"029","ABITIBI OUEST","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,816,7,-8835838.053,6237605.451
"611","PML030","PALMAROLLE","PML",1,"030","ABITIBI OUEST","2-céréales","maraicher",1,NA,"maraicher",4,NA,NA,NA,329,7,-8841985.456,6252155.273
"612","PML032","PALMAROLLE","PML",1,"032","ABITIBI OUEST","2-céréales","maraicher",1,NA,"maraicher",3,NA,NA,NA,377,7,-8841788.992,6252144.769
"613","PML033","PALMAROLLE","PML",1,"033","ABITIBI OUEST","2-céréales","salades en 1988",3,NA,"céréales",2,NA,NA,NA,473,7,-8849415.753,6232606.647
"614","PRV36","PIERREVILLE","PRV",2,"36","YAMASKA","3-maïs-grain",NA,15,NA,NA,NA,NA,NA,NA,717,7,-8106831.716,5799179.136
"615","PRV37","PIERREVILLE","PRV",2,"37","YAMASKA","1-prairie",NA,3,NA,NA,NA,NA,NA,NA,1065,7,-8107036.265,5799204.456
"616","PRV38","PIERREVILLE","PRV",2,"38","YAMASKA","1-prairie",NA,5,NA,NA,NA,NA,NA,NA,896,7,-8103707.259,5798485.391
"617","PRV39","PIERREVILLE","PRV",2,"39","YAMASKA","3-maïs-grain",NA,7,NA,NA,NA,NA,NA,NA,936,7,-8105144.966,5798621.817
"618","PRV43","PIERREVILLE","PRV",2,"43","YAMASKA","4-pommes de terre",NA,5,NA,NA,NA,NA,NA,NA,823,7,-8109588.643,5799253.995
"619","PRV44","PIERREVILLE","PRV",2,"44","YAMASKA","4-pommes de terre",NA,NA,NA,"fraises",NA,NA,NA,NA,913,7,-8106447.362,5796458.226
"620","PTC038","PONTIAC","PTC",1,"038","PONTIAC","1-prairie",NA,3,NA,NA,NA,NA,NA,NA,119,7,-8504042.081,5708444.691
"621","PTC039","PONTIAC","PTC",1,"039","PONTIAC","5-maïs-ensilage",NA,5,NA,NA,NA,NA,NA,NA,59,7,-8504516.541,5708001.078
"622","PTC040","PONTIAC","PTC",1,"040","PONTIAC","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,50,7,-8506037.067,5707075.834
"623","PTC047","PONTIAC","PTC",1,"047","PONTIAC","5-maïs-ensilage",NA,3,NA,NA,NA,NA,NA,NA,209,7,-8527562.336,5717959.085
